,sex,sex_binary,age,age_group,player_number,first_player,second_player,third_player,fourth_player,encouragement_low,encouragement_middle,encouragement_high,encouragement_neutral,fast_round_sum,success_group,amount_chosen,risk,did_win
26,female,1,45,40,3,0,0,1,0,0.0,2,0,0,20000,15-25,20000,2,1
27,female,1,26,20,3,0,0,1,0,1.0,0,0,0,20000,15-25,20000,2,1
28,female,1,38,30,3,0,0,1,0,0.0,0,0,0,10000,0-15,10000,2,1
29,female,1,33,30,3,0,0,1,0,0.0,3,0,0,15000,15-25,15000,2,0
30,female,1,27,20,3,0,0,1,0,0.0,1,1,1,20000,15-25,20000,2,1
31,female,1,26,20,3,0,0,1,0,0.0,2,0,0,25000,25-35,25000,2,1
32,female,1,27,20,3,0,0,1,0,0.0,2,0,1,20000,15-25,20000,2,0
33,female,1,20,20,3,0,0,1,0,0.0,0,3,0,30000,25-35,30000,2,0
34,female,1,35,30,3,0,0,1,0,0.0,1,2,0,20000,15-25,20000,2,1
35,female,1,26,20,3,0,0,1,0,0.0,1,0,0,30000,25-35,30000,2,0
36,male,0,24,20,3,0,0,1,0,0.0,1,1,1,15000,15-25,15000,2,1
37,female,1,29,20,3,0,0,1,0,0.0,0,0,2,25000,25-35,150000,3,1
38,female,1,27,20,3,0,0,1,0,0.0,0,2,0,35000,35-45,135000,3,1
39,female,1,18,20,3,0,0,1,0,0.0,2,0,0,30000,25-35,30000,2,1
40,female,1,25,20,3,0,0,1,0,0.0,0,3,0,30000,25-35,30000,2,0
41,female,1,29,20,3,0,0,1,0,0.0,0,3,0,40000,35-45,40000,2,0
42,male,0,65,50,3,0,0,1,0,0.0,0,2,0,25000,25-35,25000,2,1
43,male,0,29,20,3,0,0,1,0,0.0,2,0,0,20000,15-25,20000,2,0
44,female,1,25,20,3,0,0,1,0,0.0,0,3,0,35000,35-45,35000,2,1
45,female,1,30,30,3,0,0,1,0,0.0,0,2,0,5000,0-15,60000,3,1
46,male,0,31,30,3,0,0,1,0,0.0,2,0,0,20000,15-25,160000,3,0
47,male,0,47,40,3,0,0,1,0,0.0,1,1,0,40000,35-45,175000,3,0
48,female,1,35,30,3,0,0,1,0,0.0,1,1,0,20000,15-25,20000,2,1
49,male,0,51,50,3,0,0,1,0,0.0,0,1,0,30000,25-35,150000,3,1
50,female,1,38,30,3,0,0,1,0,0.0,1,1,0,40000,35-45,40000,2,1
51,female,1,37,30,3,0,0,1,0,0.0,2,0,0,20000,15-25,20000,2,1
52,female,1,28,20,3,0,0,1,0,0.0,2,1,0,40000,35-45,40000,2,0
53,female,1,39,30,3,0,0,1,0,0.0,3,0,0,40000,35-45,40000,2,1
54,female,1,38,30,3,0,0,1,0,0.0,0,2,1,10000,0-15,10000,2,0
55,female,1,33,30,3,0,0,1,0,0.0,1,1,0,10000,0-15,10000,2,0
56,female,1,33,30,3,0,0,1,0,0.0,1,1,0,35000,35-45,150000,3,1
57,male,0,31,30,3,0,0,1,0,0.0,2,0,0,45000,45-55,150000,3,0
58,male,0,40,40,3,0,0,1,0,0.0,2,0,0,35000,35-45,35000,2,1
59,female,1,28,20,3,0,0,1,0,0.0,2,0,0,20000,15-25,20000,2,1
60,male,0,33,30,3,0,0,1,0,0.0,0,3,0,25000,25-35,135000,3,1
61,female,1,26,20,3,0,0,1,0,0.0,2,0,0,25000,25-35,25000,2,1
62,male,0,65,50,3,0,0,1,0,0.0,2,0,0,30000,25-35,30000,2,1
63,male,0,44,40,3,0,0,1,0,0.0,0,3,0,30000,25-35,110000,3,0
64,male,0,28,20,3,0,0,1,0,0.0,2,1,0,40000,35-45,40000,2,1
65,male,0,24,20,3,0,0,1,0,-1.0,-1,-1,-1,30000,25-35,30000,2,1
66,male,0,27,20,3,0,0,1,0,0.0,1,0,0,10000,0-15,10000,2,1
67,female,1,30,30,3,0,0,1,0,0.0,0,2,0,30000,25-35,30000,2,0
68,female,1,29,20,3,0,0,1,0,0.0,1,0,1,20000,15-25,120000,3,0
69,male,0,48,40,3,0,0,1,0,0.0,0,3,0,35000,35-45,35000,2,1
70,female,1,15,20,3,0,0,1,0,0.0,3,0,0,15000,15-25,15000,2,1
71,male,0,35,30,3,0,0,1,0,0.0,0,2,0,25000,25-35,25000,2,0
72,male,0,28,20,3,0,0,1,0,0.0,2,0,0,20000,15-25,20000,2,1
73,male,0,22,20,3,0,0,1,0,0.0,0,1,0,30000,25-35,30000,2,1
74,female,1,35,30,3,0,0,1,0,0.0,2,0,0,50000,45-55,50000,2,1
75,female,1,37,30,3,0,0,1,0,0.0,1,0,1,45000,45-55,45000,2,1
76,female,1,62,50,3,0,0,1,0,0.0,0,3,0,15000,15-25,120000,3,1
77,male,0,28,20,3,0,0,1,0,0.0,3,0,0,40000,35-45,40000,2,1
78,male,0,34,30,3,0,0,1,0,0.0,1,1,1,30000,25-35,30000,2,1
79,female,1,38,30,3,0,0,1,0,0.0,2,0,0,40000,35-45,40000,2,1
80,male,0,29,20,3,0,0,1,0,0.0,0,0,2,40000,35-45,175000,3,0
81,female,1,55,50,3,0,0,1,0,0.0,2,1,0,30000,25-35,30000,2,1
82,male,0,36,30,3,0,0,1,0,0.0,2,0,0,15000,15-25,15000,2,1
83,male,0,25,20,3,0,0,1,0,0.0,2,0,0,25000,25-35,25000,2,0
84,male,0,44,40,3,0,0,1,0,0.0,0,1,0,20000,15-25,150000,3,1
85,female,1,45,40,3,0,0,1,0,0.0,0,3,0,20000,15-25,130000,3,0
86,female,1,28,20,3,0,0,1,0,0.0,2,0,0,35000,35-45,35000,2,1
87,female,1,32,30,3,0,0,1,0,0.0,2,0,0,25000,25-35,160000,3,0
88,female,1,23,20,3,0,0,1,0,0.0,1,2,0,35000,35-45,35000,2,0
89,female,1,31,30,3,0,0,1,0,1.0,0,0,0,30000,25-35,150000,3,1
90,female,1,37,30,3,0,0,1,0,0.0,2,0,0,25000,25-35,25000,2,0
91,male,0,26,20,3,0,0,1,0,0.0,0,3,0,50000,45-55,160000,3,1
